molecule_id_a,molecule_id_b,severity,mechanism,provenance
MOL-00001,MOL-01923,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-01961,Unknown,,ddinter_downloads_code_V.csv
MOL-00001,MOL-02025,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02034,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02046,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00001,MOL-02089,Major,,ddinter_downloads_code_L.csv
MOL-00001,MOL-02137,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-02167,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-02241,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02254,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02281,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv
MOL-00001,MOL-02304,Unknown,,ddinter_downloads_code_B.csv
MOL-00004,MOL-00054,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00093,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00094,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00095,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00101,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00109,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00466,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00470,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00479,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00520,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00561,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00562,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00581,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00589,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00603,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00662,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00670,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00671,Major,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00674,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00686,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00689,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00696,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00697,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00722,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00740,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00748,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00755,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00766,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00770,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00773,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00821,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00825,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00857,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00860,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00864,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00878,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00882,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00899,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00004,MOL-00902,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00909,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00911,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00933,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00941,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00945,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00950,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00958,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00973,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00983,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-01002,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01003,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01043,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_P.csv
MOL-00004,MOL-01047,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01055,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01058,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01059,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01063,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01069,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01071,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00004,MOL-01087,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-01142,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00004,MOL-01156,Major,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00110,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00577,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00651,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00660,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00714,Minor,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00721,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00790,Major,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00857,Major,,ddinter_downloads_code_L.csv
MOL-00005,MOL-00980,Major,,ddinter_downloads_code_L.csv
MOL-00005,MOL-01008,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-01019,Moderate,,ddinter_downloads_code_L.csv
MOL-00005,MOL-01079,Major,,ddinter_downloads_code_L.csv
MOL-00006,MOL-00011,Major,,ddinter_downloads_code_B.csv|ddinter_downloads_code_L.csv
MOL-00006,MOL-00109,Major,,ddinter_downloads_code_B.csv|ddinter_downloads_code_L.csv
MOL-00006,MOL-00114,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00115,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00700,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00705,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00719,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00745,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00757,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00759,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00773,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00804,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00831,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_B.csv
MOL-00006,MOL-00836,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00878,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00886,Moderate,,ddinter_downloads_code_B.csv|ddinter_downloads_code_R.csv
MOL-00006,MOL-00892,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00898,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00940,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00951,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00952,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-00954,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-01005,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-01007,Major,,ddinter_downloads_code_B.csv
MOL-00006,MOL-01052,Major,,ddinter_downloads_code_B.csv|ddinter_downloads_code_V.csv
MOL-00006,MOL-01053,Major,,ddinter_downloads_code_B.csv|ddinter_downloads_code_L.csv
MOL-00006,MOL-01054,Moderate,,ddinter_downloads_code_B.csv|ddinter_downloads_code_R.csv
MOL-00006,MOL-01057,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-01064,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-01077,Moderate,,ddinter_downloads_code_B.csv
MOL-00006,MOL-01086,Major,,ddinter_downloads_code_B.csv
MOL-00007,MOL-00089,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00099,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00106,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00110,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00811,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00828,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00829,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00855,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00857,Major,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00864,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00007,MOL-00900,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00905,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00906,Major,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00938,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00980,Major,,ddinter_downloads_code_L.csv
MOL-00007,MOL-00986,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00007,MOL-01008,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01019,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01059,Major,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01065,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01073,Major,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01079,Major,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01133,Moderate,,ddinter_downloads_code_L.csv
MOL-00007,MOL-01154,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00011,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00101,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00103,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00106,Minor,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00109,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00933,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00941,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00945,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00950,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00958,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00973,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00008,MOL-00983,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00008,MOL-00984,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00985,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-00993,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01001,Major,,ddinter_downloads_code_L.csv|ddinter_downloads_code_P.csv
MOL-00008,MOL-01002,Major,,ddinter_downloads_code_L.csv
