drugbank_id_a,drugbank_id_b,ddinter_id_a,ddinter_id_b,drug_a,drug_b,severity,mechanism,source_file,n_source_files,severity_conflict_across_files
,,DDInter1,DDInter1091,Abacavir,Loratadine,Unknown,,ddinter_downloads_code_R.csv,1,false
,,DDInter1,DDInter1164,Abacavir,Metformin,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1174,Abacavir,Methotrexate,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter1197,Abacavir,Metoclopramide,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1202,Abacavir,Metronidazole,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_P.csv,3,false
,,DDInter1,DDInter1231,Abacavir,Misoprostol,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1242,Abacavir,Montelukast,Unknown,,ddinter_downloads_code_R.csv,1,false
,,DDInter1,DDInter1244,Abacavir,Morphine,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1263,Abacavir,Naltrexone,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1318,Abacavir,Nystatin,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv,2,false
,,DDInter1,DDInter1340,Abacavir,Omeprazole,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1342,Abacavir,Ondansetron,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1348,Abacavir,Orlistat,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1357,Abacavir,Oxandrolone,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1388,Abacavir,Pantoprazole,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1404,Abacavir,Pegaspargase,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter1409,Abacavir,Peginterferon beta-1a,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter1472,Abacavir,Pioglitazone,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1497,Abacavir,Potassium chloride,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_B.csv,2,false
