drug,degree,top_file,anchor_concentration,n_files
trichlormethiazide,143,A,0.5944,7
delafloxacin,143,L,0.4755,8
brexpiprazole,143,A,0.4615,8
anastrozole,142,L,1.0,7
methimazole,142,H,1.0,8
tazemetostat,142,L,0.5211,8
enoxacin,142,A,0.4437,8
naldemedine,142,A,1.0,8
etacrynic acid,141,A,0.5461,7
sevoflurane,141,L,0.3759,8
lisdexamfetamine,141,L,0.383,8
pegfilgrastim,140,L,1.0,5
iothalamic acid,140,V,1.0,7
iodixanol,140,V,1.0,8
levamlodipine,140,L,0.4,8
pseudoephedrine,140,R,1.0,6
benzhydrocodone,140,L,0.3214,8
filgrastim,139,L,1.0,4
sargramostim,139,L,1.0,4
cefuroxime,139,A,0.4532,8
cocaine,139,R,1.0,7
nintedanib,139,L,1.0,7
argatroban,139,B,1.0,7
mazindol,139,A,1.0,8
pimavanserin,139,L,0.4532,8
sulfamethoxazole,139,L,0.518,8
cerivastatin,138,L,0.5797,8
trandolapril,138,A,0.442,7
bromfenac,137,B,0.3066,7
revefenacin,137,R,1.0,7
enfortumab vedotin,137,L,0.562,6
acrivastine,136,R,1.0,6
metreleptin,136,A,1.0,8
pramipexole,136,A,0.3824,8
nalidixic acid,136,L,0.4338,8
plicamycin,135,L,1.0,6
carteolol,135,A,0.3852,8
lepirudin,135,B,1.0,6
isosorbide dinitrate,135,A,0.4074,8
sulfinpyrazone,135,L,0.5185,8
mipomersen,134,L,0.6567,8
blinatumomab,134,L,1.0,7
alteplase,134,B,1.0,6
lasmiditan,134,L,0.3731,7
radium ra dichloride,134,L,0.903,6
amifostine,134,V,1.0,7
siltuximab,133,L,1.0,6
vortioxetine,133,B,0.3233,8
bivalirudin,133,B,1.0,6
oxandrolone,133,A,1.0,8
secukinumab,132,L,1.0,5
methylphenidate,132,A,0.3333,8
pentostatin,132,L,1.0,5
mechlorethamine,132,L,1.0,6
danaparoid,132,B,1.0,6
pralatrexate,132,L,1.0,7
galactose,131,V,1.0,8
arformoterol,131,L,0.3969,8
terazosin,131,A,0.3588,8
telotristat ethyl,131,L,0.5878,8
stavudine,131,L,0.4504,8
reteplase,131,B,1.0,6
tenecteplase,131,B,1.0,6
caplacizumab,131,B,1.0,6
flunisolide,131,R,1.0,7
ibandronate,131,A,0.3893,8
afatinib,131,L,1.0,8
desirudin,131,B,1.0,7
levosalbutamol,131,L,0.3969,8
cefepime,130,A,0.4154,8
cinoxacin,130,A,0.4385,8
phenelzine,130,R,0.4154,8
nimodipine,130,L,0.3769,8
ixekizumab,130,L,1.0,5
guselkumab,130,L,1.0,5
penbutolol,129,A,0.3953,8
ipilimumab,129,L,1.0,8
tacrine,129,L,0.4729,8
berotralstat,129,L,0.5969,8
ivabradine,129,L,0.5039,8
suvorexant,129,L,0.3876,7
danazol,128,L,0.4297,8
adenosine,128,L,0.4297,8
telavancin,128,L,0.4453,8
milnacipran,128,B,0.3438,8
sodium phosphate monobasic,128,L,0.9141,6
ioxilan,128,V,1.0,7
tadalafil,128,A,0.3438,8
alosetron,128,A,1.0,8
polatuzumab vedotin,128,L,0.7656,8
abciximab,127,B,1.0,6
megestrol,127,L,1.0,7
methyldopa,126,A,0.3968,8
tranylcypromine,126,R,0.4286,8
mephenytoin,126,L,0.4127,8
demeclocycline,126,D,1.0,7
cangrelor,125,B,1.0,6
raloxifene,125,A,0.408,8
iodipamide,125,V,1.0,7
capmatinib,125,L,0.568,8
tobramycin,124,A,0.4032,8
inotersen,124,B,0.3468,7
lusutrombopag,124,B,1.0,8
calcipotriol,124,D,1.0,7
defibrotide,124,B,1.0,6
drotrecogin alfa,124,B,1.0,6
lanreotide,123,H,1.0,6
propiomazine,123,A,0.561,8
halothane,123,L,0.4959,8
methocarbamol,122,A,0.4016,8
isoetharine,122,L,0.418,8
dutasteride,122,A,0.3443,8
oxytetracycline,121,D,1.0,7
belinostat,121,L,1.0,6
latanoprost,121,A,0.405,8
eslicarbazepine,121,L,0.438,8
naxitamab,121,L,0.8512,7
ibutilide,120,L,0.4417,8
isocarboxazid,120,R,0.4417,7
amisulpride,120,L,0.4417,8
estazolam,120,A,0.3083,8
methoxsalen,119,D,1.0,6
eltrombopag,119,B,1.0,7
drospirenone,119,L,0.4034,8
colchicine,118,L,0.7034,8
streptokinase,118,B,1.0,6
hydralazine,118,L,0.3983,8
urokinase,118,B,1.0,6
ramucirumab,118,L,1.0,6
levomilnacipran,118,B,0.3729,8
anistreplase,117,B,1.0,6
dalfopristin,117,L,0.5726,8
mupirocin,117,D,1.0,8
rasagiline,116,R,0.4138,8
gemfibrozil,116,A,0.4224,8
acenocoumarol,116,B,1.0,8
dihydrocodeine,116,A,0.3017,8
baclofen,116,R,0.3879,8
tolvaptan,116,L,0.6034,8
salsalate,116,A,0.4138,7
altretamine,116,L,1.0,5
clobazam,115,R,0.3043,8
zaleplon,115,A,0.3739,8
gemtuzumab ozogamicin,115,L,1.0,5
decitabine,115,L,1.0,4
amiloride,114,A,0.4561,7
pilocarpine,114,A,0.3772,8
voxelotor,114,L,0.5439,8
vasopressin,114,L,0.5175,8
zopiclone,113,A,0.4513,8
diethylstilbestrol,113,L,1.0,7
esmolol,113,A,0.2655,8
palifermin,113,V,1.0,5
methyl aminolevulinate,112,L,1.0,6
dexlansoprazole,112,A,1.0,8
aminolevulinic acid,112,L,1.0,6
acitretin,112,D,1.0,7
cefazolin,111,A,0.4775,8
nalbuphine,111,A,0.3964,8
metamfetamine,111,A,0.5856,8
flurazepam,111,R,0.3604,8
norgestrel,110,L,0.4273,8
etonogestrel,110,L,0.4182,8
ethambutol,110,L,0.5182,8
ceftazidime,110,A,0.3727,8
trimetrexate,109,P,1.0,6
verteporfin,109,B,0.3211,7
nafcillin,109,L,0.633,8
perflutren,109,L,0.4771,8
ambrisentan,109,L,0.3853,8
aliskiren,108,L,0.3519,8
pirfenidone,108,L,1.0,8
relugolix,108,L,0.463,8
gadodiamide,107,V,1.0,7
clofazimine,106,L,0.4811,8
sumatriptan,105,A,0.5048,8
estrone,105,A,0.4857,7
fesoterodine,105,R,0.3143,8
antithrombin iii human,104,B,1.0,6
tapentadol,104,R,0.4808,8
probucol,104,L,0.5192,8
guanfacine,103,L,0.3495,8
orphenadrine,103,R,0.466,8
ethotoin,103,R,0.3204,8
mexiletine,102,L,0.3529,8
ribavirin,102,A,0.5098,8
varenicline,102,A,0.5,8
zinc,101,A,1.0,7
conjugated estrogens,101,A,0.505,7
etidronic acid,101,A,0.4455,8
pentazocine,101,A,0.4059,8
netupitant,101,L,0.5743,8
selegiline,101,A,0.4158,8
dihydroergotamine,100,L,0.37,7
fluocinonide,100,D,1.0,7
olsalazine,100,A,1.0,7
eplerenone,100,A,0.32,7
levodopa,99,L,0.4545,7
benzphetamine,99,A,0.6263,8
trimethoprim,99,A,0.3838,8
chlordiazepoxide,98,R,0.3776,8
esterified estrogens,98,A,0.5204,7
cromoglicic acid,98,A,1.0,7
methazolamide,98,A,0.6429,7
diclofenamide,98,A,0.6429,7
erdafitinib,98,L,0.4694,8
quazepam,98,R,0.4082,8
trihexyphenidyl,98,R,0.4286,7
ipratropium,98,R,1.0,4
umeclidinium,97,R,1.0,4
ramelteon,97,R,0.3402,8
clorazepic acid,97,R,0.3608,8
aclidinium,97,R,1.0,4
ketamine,97,R,0.5361,7
quinestrol,96,A,0.5104,7
ivermectin,96,D,1.0,8
isotretinoin,96,D,1.0,7
prucalopride,96,A,1.0,7
levobunolol,96,A,0.3229,8
albendazole,95,P,1.0,8
estramustine,95,L,1.0,7
memantine,95,A,0.4421,8
artemether,94,P,1.0,8
triamterene,94,A,0.4255,7
thiothixene,94,R,0.4255,8
cevimeline,94,L,0.3936,8
tiagabine,94,R,0.3191,8
tasimelteon,94,R,0.3511,8
choline,94,A,0.4787,7
remifentanil,93,A,0.4301,8
silodosin,93,L,0.4301,8
abacavir,93,A,0.4409,8
sarecycline,93,L,0.4839,7
ciclopirox,93,D,1.0,8
fosnetupitant,93,L,0.5914,8
nicotine,93,A,0.4409,8
maraviroc,92,L,0.5652,7
benznidazole,91,P,1.0,6
dobutamine,90,A,0.6667,8
safinamide,90,A,0.3556,7
telbivudine,90,L,0.5444,8
secnidazole,89,P,1.0,6
ethosuximide,89,L,0.4157,8
fulvestrant,89,L,1.0,8
isatuximab,89,L,0.9438,4
frangula purshiana bark,88,L,0.4886,8
ioflupane i,88,V,1.0,4
ripretinib,88,L,0.5455,8
eletriptan,88,A,0.3636,7
amantadine,87,A,0.4483,8
ginkgo biloba,87,B,0.4483,7
trastuzumab,87,L,1.0,5
dacomitinib,87,L,1.0,5
ergotamine,87,L,0.4023,7
loxapine,86,R,0.4767,7
daclatasvir,85,L,0.5647,8
eszopiclone,85,R,0.3647,7
ketotifen,85,R,1.0,8
mycophenolate,85,L,0.4,7
naloxone,85,A,1.0,8
denileukin diftitox,85,L,1.0,4
thyroid porcine,85,A,0.7412,7
alectinib,85,L,1.0,5
kaolin,84,A,1.0,7
famciclovir,84,A,0.4405,8
oxymorphone,84,A,0.4048,8
uracil mustard,83,L,1.0,5
pitavastatin,83,L,0.759,7
ethionamide,83,L,0.6265,6
auranofin,83,L,0.6024,8
rituximab,83,L,1.0,6
selumetinib,83,B,0.4337,7
reserpine,82,A,0.4512,7
praziquantel,82,P,1.0,8
amphetamine,82,A,0.4268,8
bacitracin,82,D,1.0,7
givosiran,82,L,0.439,7
levorphanol,82,A,0.4146,8
methylergometrine,82,L,0.4024,7
calcium glubionate,82,A,1.0,6
azacitidine,82,L,1.0,4
caspofungin,81,L,0.4321,8
flucytosine,81,D,1.0,7
mestranol,81,A,0.4074,8
phendimetrazine,81,A,0.6296,8
phenyl,80,A,0.425,7
propylthiouracil,80,H,1.0,7
sulfamethizole,79,B,1.0,6
vitamin d,79,A,0.4684,8
selenium sulfide,79,D,1.0,7
fidaxomicin,79,A,1.0,7
piperacillin,79,A,0.443,8
olmesartan,79,A,0.3797,7
methysergide,78,L,0.3846,7
trifluridine,78,L,1.0,4
daratumumab,77,L,1.0,4
dyphylline,77,R,1.0,4
molindone,77,R,0.4935,7
dienestrol,77,A,0.6364,7
obinutuzumab,77,L,1.0,4
selinexor,77,L,1.0,4
zalcitabine,77,L,0.7143,6
durvalumab,76,L,1.0,7
activated charcoal,76,A,1.0,6
mogamulizumab,76,L,1.0,6
ginseng,76,A,0.5,5
ofatumumab,76,L,1.0,4
emapalumab,76,L,1.0,5
liotrix,76,A,0.75,7
ferrous,76,B,1.0,6
zolmitriptan,76,A,0.4342,8
iron,75,A,1.0,6
aflibercept,75,L,1.0,4
vecuronium,75,A,0.5067,8
ubrogepant,75,L,0.6267,8
cefpodoxime,75,A,0.5333,8
aminocaproic acid,75,B,1.0,8
gadoversetamide,75,V,1.0,7
entacapone,74,R,0.4324,7
ergometrine,74,L,0.4324,7
artesunate,74,P,1.0,8
digitoxin,74,A,0.4865,7
lanthanum,74,V,1.0,7
rizatriptan,74,A,0.5,8
pyridostigmine,74,A,0.5135,7
cefdinir,74,A,0.5135,8
turmeric,73,A,0.5205,4
atezolizumab,73,L,1.0,6
satralizumab,73,L,0.7671,6
metipranolol,73,V,0.3288,7
lutetium lu dotatate,72,L,0.6528,6
risankizumab,72,L,1.0,5
tildrakizumab,72,L,1.0,5
sulfadiazine,72,A,0.4306,8
levamisole,72,P,1.0,6
dopamine,72,A,0.5972,6
cefotaxime,72,A,0.4722,8
riociguat,72,L,0.3472,8
bictegravir,71,L,0.507,8
ardeparin,71,B,0.5211,6
hemin,71,B,1.0,4
apremilast,71,L,1.0,7
polymyxin b,70,A,1.0,6
dezocine,70,A,0.4286,8
azilsartan,70,A,0.4143,7
guanethidine,69,A,0.5217,7
cefaclor,69,A,0.5362,8
eprosartan,69,A,0.4203,7
midodrine,69,A,0.3623,7
rifaximin,69,A,1.0,6
enasidenib,69,L,1.0,6
levocarnitine,68,A,1.0,6
prazosin,68,A,0.3971,7
retapamulin,68,D,1.0,7
vitamin a,68,A,1.0,7
bromocriptine,68,R,0.4265,7
tolevamer,68,V,1.0,7
istradefylline,68,L,0.5588,8
mirabegron,67,L,0.4478,7
dantrolene,67,R,0.3731,7
esketamine,67,R,0.6866,6
chlorzoxazone,67,R,0.403,8
flavoxate,66,R,0.5758,6
amifampridine,66,A,0.3333,7
guanadrel,66,A,0.5152,7
deserpidine,66,A,0.5152,7
meprobamate,66,R,0.4848,7
muromonab,66,L,1.0,6
oseltamivir,66,A,0.4091,8
abatacept,66,L,1.0,4
probenecid,66,A,0.5,8
caffeine,66,R,1.0,8
ulipristal,66,L,0.5455,8
benzatropine,66,R,0.5606,6
belatacept,65,L,1.0,5
pegvisomant,65,H,1.0,4
brivaracetam,65,R,0.4615,7
adapalene,65,D,1.0,7
sodium aurothiomalate,65,L,0.7231,6
bimatoprost,65,A,0.4923,8
lopinavir,64,A,0.3438,8
attapulgite,64,A,1.0,6
garlic,64,B,0.5781,5
antithymocyte immunoglobulin,64,L,1.0,5
plazomicin,64,A,0.3281,7
belimumab,64,L,1.0,4
antilymphocyte immunoglobulin,64,L,1.0,5
phenyltoloxamine,64,R,0.5625,6
vedolizumab,63,L,1.0,4
rocuronium,63,A,0.5238,8
olaratumab,63,L,1.0,3
ledipasvir,63,A,0.4286,7
basiliximab,63,L,1.0,4
doxercalciferol,63,H,1.0,6
tetracaine,63,D,1.0,7
deoxycholic acid,63,D,1.0,5
suprofen,63,B,0.6508,7
imiquimod,63,D,1.0,8
ciclesonide,63,R,1.0,7
aurothioglucose,63,L,0.7143,6
isometheptene,62,A,1.0,5
norepinephrine,62,A,0.6613,6
hyaluronidase,62,B,1.0,7
clevidipine,62,A,0.2903,7
brodalumab,62,L,1.0,4
stanozolol,62,A,1.0,7
procyclidine,62,R,0.5806,5
biperiden,62,R,0.5806,5
pralsetinib,61,L,0.6557,7
oxymetholone,61,A,1.0,7
tolcapone,60,R,0.4833,6
nepafenac,60,B,0.6833,7
ampicillin,60,A,0.5,8
dimenhydrinate,60,R,0.5833,6
nicotinamide,60,A,1.0,3
pancuronium,60,A,0.5333,8
diphenoxylate,60,A,1.0,4
lesinurad,60,L,0.65,8
levobupivacaine,60,L,0.5,8
tagraxofusp,59,L,1.0,3
doravirine,59,L,0.5254,8
metaraminol,59,A,0.6441,6
vigabatrin,59,R,0.6102,7
ropivacaine,59,L,0.3559,8
pergolide,58,R,0.4828,7
alprostadil,58,A,0.5,7
mephentermine,58,A,0.6552,5
pentosan polysulfate,57,B,0.7193,4
bismuth subsalicylate,57,B,0.4561,6
cholestyramine,57,A,0.5263,8
halazepam,57,R,0.4035,7
difenoxin,57,A,1.0,3
methoxamine,56,A,0.6786,6
interferon gamma- b,56,L,0.6429,7
apraclonidine,56,R,0.5536,6
edrophonium,56,V,1.0,6
macitentan,56,L,0.6071,7
pyrazinamide,56,A,0.4464,8
glecaprevir,56,L,0.5893,7
rimegepant,55,L,0.7273,7
belladonna,55,R,0.5636,5
zileuton,55,L,0.6364,7
nitric oxide,55,R,1.0,7
nitrazepam,55,A,0.5455,8
diiodohydroxyquinoline,55,L,0.7636,6
brexucabtagene autoleucel,54,L,0.6296,6
diamorphine,54,R,0.4074,6
cefprozil,54,A,0.5185,7
capreomycin,54,A,0.463,7
velpatasvir,54,A,0.4259,7
perampanel,53,R,0.5094,7
almotriptan,53,A,0.434,7
dextroamphetamine,53,R,0.3962,8
kava,53,R,0.5094,5
fluoxymesterone,53,A,0.4717,7
vismodegib,53,L,1.0,6
doxapram,53,R,1.0,6
grazoprevir,53,L,0.5849,8
linaclotide,53,A,1.0,7
methyltestosterone,53,A,0.4717,7
urea,53,B,1.0,6
dexmedetomidine,53,R,0.4528,6
collagenase clostridium histolyticum,52,D,1.0,3
penicillamine,52,A,0.4423,8
remimazolam,52,R,0.6346,6
nitroprusside,51,R,0.3725,7
cisatracurium,51,A,0.4902,8
cefadroxil,51,A,0.451,8
calcifediol,51,A,1.0,5
netilmicin,51,A,0.4118,6
cidofovir,51,L,0.3529,7
dolutegravir,51,A,0.4118,7
flumazenil,51,V,1.0,7
avanafil,51,L,0.3725,7
metaxalone,50,R,0.48,5
avatrombopag,50,B,1.0,6
tetraferric tricitrate decahydrate,50,V,1.0,6
obeticholic acid,49,A,1.0,7
xylometazoline,49,R,1.0,5
omega- fatty acids,49,B,0.8571,5
travoprost,49,A,0.5306,8
chenodeoxycholic acid,49,A,1.0,3
cholecalciferol,49,A,1.0,5
dupilumab,49,D,1.0,5
ergocalciferol,49,A,1.0,5
brexanolone,49,R,0.6122,5
fenoldopam,49,D,0.3265,7
levobetaxolol,49,A,0.3469,7
bupivacaine,49,A,0.4898,8
sulfisoxazole,48,A,0.3958,6
icosapent,48,B,0.875,5
pemigatinib,47,L,0.5319,6
fluorometholone,47,D,1.0,5
racepinephrine,47,R,0.6383,7
methoxyflurane,47,A,0.3191,7
colesevelam,47,A,0.4894,7
deferoxamine,47,V,1.0,7
opicapone,47,R,0.6809,6
beclomethasone,46,A,1.0,6
oxymetazoline,46,R,1.0,4
chamomile,46,B,0.8696,4
capsicum,46,B,0.8696,4
naphazoline,46,R,1.0,4
indium - oxyquinoline,46,A,0.5,8
tetryzoline,46,R,1.0,4
metyrosine,45,R,0.6,5
cabergoline,45,A,0.5111,7
iopodic acid,45,V,1.0,2
dihydrotachysterol,45,A,1.0,5
simeprevir,45,L,0.5333,7
vorinostat,45,L,1.0,4
methsuximide,45,R,0.6222,7
neostigmine,44,A,0.5682,8
echothiophate,44,R,0.6136,5
sodium oxybate,44,R,0.5682,5
colestipol,43,A,0.4419,7
valerian,43,R,0.6744,5
rotigotine,43,R,0.6744,5
ziconotide,43,R,0.6744,5
tyropanoic acid,43,V,1.0,2
gadobenic acid,43,V,1.0,2
sulfadoxine,43,A,0.3953,6
iopanoic acid,43,V,1.0,2
ginger,42,B,0.8571,4
succinylcholine,42,A,0.3333,8
desogestrel,42,A,0.5476,5
clove,42,B,0.881,5
mivacurium,42,A,0.4762,8
chloral hydrate,41,R,0.5122,6
thiopental,41,R,0.4634,6
trastuzumab deruxtecan,41,L,0.8537,4
antithrombin alfa,41,B,0.5122,6
pyrimethamine,41,P,1.0,6
guanabenz,41,A,0.3415,7
tisagenlecleucel,40,L,0.875,4
iron sucrose,40,B,1.0,5
oxacillin,40,A,0.475,8
dicloxacillin,40,A,0.475,8
econazole,40,D,1.0,7
axicabtagene ciloleucel,39,L,0.8718,4
tafasitamab,39,L,0.8718,4
trimethaphan,39,A,0.4103,7
botulinum toxin b,39,R,0.5897,5
etomidate,39,A,0.5128,8
entecavir,39,A,0.4359,7
botulinum toxin a,39,R,0.5897,5
belantamab mafodotin,39,L,0.8718,4
acetylcholine,39,R,0.7179,4
chromium,39,A,0.9231,3
thiabendazole,39,D,1.0,7
sacituzumab govitecan,38,L,0.9474,3
thyrotropin alfa,38,H,1.0,3
oritavancin,38,L,0.6842,7
paraldehyde,38,R,0.5,7
tesamorelin,38,H,1.0,3
paramethadione,38,R,0.5,6
trimethadione,38,R,0.5,6
ertapenem,38,A,0.5526,8
histamine,38,L,1.0,4
prednicarbate,37,A,1.0,3
teprotumumab,37,A,1.0,2
cinchocaine,37,D,1.0,7
desoximetasone,37,A,1.0,3
flurandrenolide,37,A,1.0,3
ulobetasol,37,A,1.0,3
amcinonide,37,A,1.0,3
carbamoylcholine,37,R,0.7297,4
diflorasone,37,A,1.0,3
desonide,37,A,1.0,3
halcinonide,37,A,1.0,3
dienogest,37,L,0.8108,5
benzocaine,37,D,1.0,7
clocortolone,37,A,1.0,3
alclometasone,37,A,1.0,3
chromic,37,A,1.0,2
sermorelin,36,H,1.0,3
fenofibric acid,36,A,0.5556,4
patiromer,36,A,0.7222,7
norgestimate,36,L,0.8333,5
human c -esterase inhibitor,36,B,1.0,3
conestat alfa,36,B,1.0,3
oxybuprocaine,35,D,1.0,7
dexmethylphenidate,35,R,0.5714,7
aloe vera leaf,35,A,1.0,2
ospemifene,35,L,0.4857,6
paromomycin,35,A,1.0,3
phensuximide,35,R,0.5429,7
demecarium,35,R,0.5429,5
isoflurophate,35,R,0.5429,5
chlormezanone,34,R,0.6176,5
isoflurane,34,A,0.5588,8
cefoxitin,34,A,0.5294,7
gadopentetic acid,34,V,1.0,1
riluzole,34,L,0.5882,6
atracurium,33,A,0.4242,8
naratriptan,33,A,0.5152,7
calcium glucoheptonate,33,A,1.0,2
potassium perchlorate,32,H,1.0,4
colistimethate,32,A,0.3125,6
proguanil,32,P,1.0,6
bacampicillin,32,A,0.6562,6
protein c,32,B,1.0,2
oxamniquine,32,P,1.0,6
phenacemide,32,R,0.5938,6
goldenseal,32,L,0.7188,6
phenoxymethylpenicillin,31,A,0.4194,7
mecamylamine,31,R,0.4516,6
iron protein succinylate,31,A,0.6452,6
gadoxetic acid,31,V,1.0,1
hydroxocobalamin,31,B,1.0,7
sugammadex,31,V,1.0,3
dichloralphenazone,31,R,0.7097,5
brinzolamide,30,A,0.5333,7
ambenonium,30,A,0.5667,6
tazarotene,30,D,1.0,5
loteprednol etabonate,30,A,0.4333,7
tranexamic acid,30,B,1.0,3
inebilizumab,30,L,0.9333,4
gamma-aminobutyric acid,30,A,0.5333,8
tromethamine,29,B,1.0,6
tigecycline,29,A,0.4483,8
human immunoglobulin g,29,A,0.3448,7
romosozumab,29,L,0.6207,6
phenoxybenzamine,29,R,0.3448,6
gallium,29,V,0.3448,6
tiludronic acid,29,A,0.4828,7
pemoline,29,L,0.4828,7
omadacycline,29,A,0.5172,6
gadoteric acid,28,V,1.0,1
doxacurium,28,A,0.5,7
tedizolid,28,L,0.6429,5
bethanechol,28,A,0.5,7
ethchlorvynol,28,R,0.5714,6
raltegravir,28,A,0.75,7
alvimopan,28,A,1.0,4
metocurine,27,A,0.5185,7
fludeoxyglucose,27,V,1.0,5
aminobenzoic acid,27,D,1.0,4
tubocurarine,27,A,0.5185,7
levonordefrin,27,R,0.5926,6
human botulinum neurotoxin a b immune globulin,27,A,0.4074,7
frovatriptan,27,A,0.4444,6
rapacuronium,27,A,0.5185,7
aztreonam,27,A,0.4444,7
human cytomegalovirus immune globulin,26,A,0.3846,7
human rho immune globulin,26,A,0.3846,7
pipecuronium,26,A,0.5385,7
lisocabtagene maraleucel,26,L,0.8846,3
dextran,25,B,1.0,3
adefovir dipivoxil,25,A,0.56,7
cefditoren,25,A,0.64,6
licorice,25,H,0.44,7
isosorbide,25,D,0.36,6
panitumumab,24,L,1.0,3
clofibrate,24,A,0.75,5
aminosalicylic acid,24,L,0.5417,6
droxidopa,23,R,0.6522,5
levoleucovorin,23,V,1.0,2
eravacycline,23,L,0.5217,6
elvitegravir,23,A,0.3913,7
solriamfetol,23,R,0.7826,5
moxetumomab pasudotox,23,V,0.4348,4
gadobutrol,22,V,1.0,1
gadofosveset trisodium,22,V,1.0,1
nitazoxanide,22,P,1.0,7
bevacizumab,22,L,1.0,2
benzylpenicillin,22,D,0.3182,7
ascorbic acid,22,A,1.0,5
bempedoic acid,22,A,0.6364,7
lipoic acid,22,A,1.0,2
plantago seed,22,A,0.9545,2
prasterone enantate,22,L,0.7273,5
methohexital,21,L,0.2857,6
febuxostat,21,L,0.7619,3
ticarcillin,21,A,0.3333,5
methylcellulose,21,A,1.0,2
lacosamide,21,L,0.5238,7
lincomycin,21,A,0.619,6
phenazopyridine,21,L,0.619,5
prilocaine,21,D,0.381,7
gallium chloride ga,21,A,0.381,7
glucagon,20,H,1.0,2
moricizine,20,L,0.45,6
emtricitabine,20,L,0.85,3
nesiritide,20,A,0.3,6
etelcalcetide,20,H,1.0,4
dalfampridine,19,L,0.4211,5
ammonium,19,B,1.0,4
sapropterin,19,A,1.0,4
voxilaprevir,19,L,0.5789,5
mezlocillin,19,A,0.3684,5
isoxsuprine,19,R,0.2632,6
methacholine,18,V,1.0,2
dexrazoxane,18,V,1.0,2
peginesatide,18,B,1.0,3
cetuximab,18,L,1.0,3
melatonin,17,L,0.6471,6
guanidine,17,A,0.5882,5
tafenoquine,17,P,1.0,6
gadoteridol,17,V,1.0,1
darbepoetin alfa,17,B,1.0,2
mecasermin,17,H,1.0,3
carbenicillin,17,A,0.3529,5
erythropoietin,17,B,1.0,2
oxitriptan,16,A,0.5,5
digoxin immune fab,16,V,1.0,2
sodium zirconium cyclosilicate,16,V,1.0,3
pegvaliase,16,A,1.0,4
mecasermin rinfabate,16,H,1.0,3
bromotheophylline,16,R,1.0,3
cyclandelate,16,A,0.25,6
phenylbutyric acid,16,A,1.0,5
lactic acid,16,A,0.6875,6
homatropine,16,A,0.5,5
clavulanic acid,16,L,0.875,2
teduglutide,16,A,1.0,2
cloxacillin,16,A,0.375,6
tryptophan,16,A,0.5,5
elbasvir,15,L,0.4,5
acamprosate,15,A,0.7333,5
pancrelipase,15,A,1.0,3
trametinib,15,L,1.0,3
proparacaine,15,D,0.4,7
citric acid,15,A,1.0,1
meticillin,15,A,0.3333,5
imipenem,15,L,0.2667,6
hydroxyamphetamine,15,R,0.6667,4
levmetamfetamine,14,R,0.7143,4
propylhexedrine,14,R,0.6429,4
meropenem,14,L,0.4286,4
cefiderocol,14,A,0.2857,7
dipivefrin,14,R,0.7143,4
baloxavir marboxil,14,A,0.8571,4
pretomanid,14,L,0.5714,5
tocainide,14,L,0.4286,7
triethylenetetramine,14,A,1.0,4
tolazoline,14,A,0.2857,6
cefamandole,13,D,0.3846,6
onasemnogene abeparvovec,13,L,0.9231,2
cefmetazole,13,D,0.3846,6
cefoperazone,13,D,0.3846,6
arbutamine,13,A,0.7692,4
pyridoxine,13,A,1.0,2
piperazine,13,P,1.0,3
nivolumab,13,L,1.0,6
tipiracil,13,L,0.7692,4
cefotetan,13,D,0.3846,6
cefixime,13,A,0.3846,5
dimercaprol,13,V,1.0,3
methenamine,12,A,0.75,4
tropicamide,12,A,0.5,6
mecobalamin,12,B,1.0,4
monopotassium,12,A,0.6667,3
pembrolizumab,12,L,1.0,6
cefradine,12,A,0.4167,5
daptomycin,12,L,0.3333,6
capromab pendetide,12,L,1.0,2
enflurane,12,A,0.5833,5
cefonicid,11,A,0.3636,5
testolactone,11,L,0.3636,5
silver,11,D,1.0,3
procaine,11,D,0.4545,6
cefalotin,11,A,0.3636,5
ceftizoxime,11,A,0.3636,5
cefapirin,11,A,0.3636,5
cycloserine,11,A,0.3636,6
ceftaroline fosamil,11,A,0.3636,5
tafamidis,11,L,0.5455,5
secretin human,10,V,1.0,4
trifarotene,10,D,1.0,2
ceftolozane,10,D,0.4,5
methylnaltrexone,10,A,1.0,3
icatibant,10,B,1.0,1
desflurane,10,A,0.6,4
loteprednol,10,D,0.4,5
cholic acid,10,A,1.0,2
edetate,10,V,0.9,2
silver sulfadiazine,10,D,1.0,3
rasburicase,10,V,1.0,4
chloroprocaine,9,D,0.5556,5
miltefosine,9,P,1.0,2
bismuth subgallate,9,A,0.5556,3
burosumab,9,A,0.4444,4
fluocinolone acetonide,9,D,1.0,4
cemiplimab,9,L,1.0,6
mebendazole,9,P,1.0,4
zanamivir,8,R,0.625,3
rimantadine,8,A,0.625,3
articaine,8,D,0.625,5
mepivacaine,8,D,0.625,4
glucarpidase,8,V,1.0,3
elexacaftor,8,A,0.625,5
sofosbuvir,8,L,0.625,2
thallous,8,R,0.5,7
pectin,8,A,1.0,1
alitretinoin,7,D,1.0,2
ceftibuten,7,A,0.2857,4
octasulfur,7,D,0.8571,2
etidocaine,7,D,0.7143,3
rimexolone,7,H,1.0,3
calcium glycerophosphate,7,A,0.2857,5
pegloticase,7,L,0.7143,3
metyrapone,7,V,1.0,3
yohimbine,6,A,0.5,4
ganirelix,6,H,1.0,3
selenium,6,V,0.5,3
coagulation factor x human,6,B,1.0,2
aprotinin,6,B,1.0,3
melphalan flufenamide,6,L,0.8333,3
